パイプラインコード,ステージキー,ステージ名,説明,UIカラー（hex）,並び順,終了ステージ（受注/失注）
LARK_SUPPORT_STANDARD,lark_01_lead,リード,リード獲得・未接触の状態,#94a3b8,1,False
LARK_SUPPORT_STANDARD,lark_02_first_contact,初回接触済,架電・メール等で初回コンタクト完了,#60a5fa,2,False
LARK_SUPPORT_STANDARD,lark_03_appointment,アポイント確定,商談日程が確定した状態,#818cf8,3,False
LARK_SUPPORT_STANDARD,lark_04_meeting,商談実施済,初回商談が完了した状態,#a78bfa,4,False
LARK_SUPPORT_STANDARD,lark_05_proposal,提案・見積提出,提案書・見積書を提出した状態,#c084fc,5,False
LARK_SUPPORT_STANDARD,lark_06_negotiation,交渉・クロージング,最終交渉・意思決定待ちの状態,#e879f9,6,False
LARK_SUPPORT_STANDARD,lark_07_won,受注・成約,契約締結完了,#22c55e,7,True
LARK_SUPPORT_STANDARD,lark_08_lost,失注,競合負け・予算なし・見送り等,#f87171,8,True
LARK_SUPPORT_STANDARD,lark_09_nurturing,ナーチャリング,現時点では受注に至らないが将来性あり。継続フォロー中,#fb923c,9,False
WATER_SAVING_STANDARD,jet_01_lead,リード,リード獲得・未接触の状態,#94a3b8,1,False
WATER_SAVING_STANDARD,jet_02_first_contact,初回接触済,架電・メール等で初回コンタクト完了,#60a5fa,2,False
WATER_SAVING_STANDARD,jet_03_appointment,アポイント確定,現地訪問・オンライン商談の日程が確定,#818cf8,3,False
WATER_SAVING_STANDARD,jet_04_site_survey,現地調査・診断,施設の節水診断・現地調査を実施,#a78bfa,4,False
WATER_SAVING_STANDARD,jet_05_proposal,節水提案・見積提出,節水効果試算・見積書を提出した状態,#c084fc,5,False
WATER_SAVING_STANDARD,jet_06_negotiation,交渉・クロージング,最終交渉・意思決定待ちの状態,#e879f9,6,False
WATER_SAVING_STANDARD,jet_07_contract,契約締結,節水機器設置契約の締結完了,#22c55e,7,True
WATER_SAVING_STANDARD,jet_08_installation,施工・設置完了,節水機器の施工・設置が完了した状態,#4ade80,8,False
WATER_SAVING_STANDARD,jet_09_lost,失注,競合負け・予算なし・見送り等,#f87171,9,True
WATER_SAVING_STANDARD,jet_10_nurturing,ナーチャリング,現時点では受注に至らないが将来性あり。継続フォロー中,#fb923c,10,False
